prefix,base,verdict,note
be,rate,allow,the common meaning of rate is unrelated to berate
be,smirch,filter,be+smirch — to soil
be,stow,whatever,be+stow — to stow away/give
be,foul,filter,be+foul — to make foul
be,gin,allow,Old English beginnan — gin (spirit) is unrelated
be,long,allow,Old English gelang — long (adjective) is unrelated
dis,respect,filter,dis+respect — transparent
dis,array,filter,dis+array — transparent
dis,believe,filter,dis+believe — transparent
dis,courage,filter,dis+courage — transparent
dis,till,allow,Latin distillare — till (cultivate) unrelated
dis,patch,allow,Middle French despeechier — patch (mend) unrelated
im,modest,filter,im+modest — transparent
im,movable,filter,im+movable — transparent
im,plausible,filter,im+plausible — transparent
im,personal,filter,im+personal — transparent
en,large,filter,en+large — transparent
en,able,filter,en+able — transparent
en,force,filter,en+force — transparent
en,danger,filter,en+danger — transparent
en,tire,allow,Old French entier (from Latin integer) — tire (wheel) unrelated
be,little,filter,be+little — to make someone seem small; transparent
be,hold,whatever,be+hold — to hold in view; observe
be,fit,whatever,be+fit — to be appropriate for; transparent
be,hind,whatever,hind (female deer / rear-limb adj) unrelated to spatial behind
be,lief,whatever,lief (archaic: willingly) is opaque to modern speakers
be,grudge,filter,
be,dazzle,filter,
dis,honor,filter,dis+honor — transparent negation
dis,content,filter,dis+content — transparent negation
dis,grace,filter,dis+grace — loss of grace; transparent
dis,card,filter,dis+card — card-game term: to remove a card from hand
dis,cord,allow,Latin discordia (hearts apart); cord (rope) is unrelated
dis,solve,allow,dissolve in water vs solve a puzzle — semantically diverged
dis,course,allow,Latin discursus; course and discourse are semantically distinct
en,rich,filter,en+rich — to make rich; transparent
en,list,whatever,en+list — to put on the list; transparent
en,sure,whatever,en+sure — to make sure; transparent
im,press,allow,it's rare to earn someone's favor by pushing them
im,plant,filter,to install has nothing to do with flora
im,pair,allow,Old French empeirer (to make worse); pair (two items) is unrelated
a,maze,allow,Old English amasian; maze (labyrinth) is not compositionally a+maze
de,value,filter,de+value — to reduce value; transparent
be,calm,filter,
be,clouded,filter,
be,forehand,filter,
be,get,whatever,
be,gotten,allow,it means more than be+gotten
be,set,whatever,
be,fell,filter,
be,fuddle,filter,
be,grimed,filter,
be,guile,filter,
be,moan,filter,
be,numbed,filter,
be,whiskered,filter,
be,wail,whatever,bewail is rare enough that I don't care
be,deck,whatever,be+deck — to adorn; transparent
be,stride,filter,be+stride — to stride across; transparent
be,dim,filter,be+dim — to make dim; transparent
be,spatter,filter,be+spatter — to spatter over; transparent
be,smear,filter,be+smear — to smear over; transparent
be,devil,filter,be+devil — to torment; devil used as a verb
be,token,filter,be+token — to signify; transparent
be,speak,filter,be+speak — to indicate or order in advance; transparent
be,night,filter,be+night — to overtake with darkness (benight); transparent
be,lie,allow,belie means to contradict/misrepresent — unrelated to lie
be,have,allow,behave means to conduct oneself — not literally be+have
be,neath,whatever,neath is archaic and rare so I don't care about this example
be,tray,allow,betray from Old French; tray and betray are unrelated
be,queath,allow,queath is archaic; bequeath is opaque
be,seech,allow,seech is not a modern word; beseech is fully opaque
be,muse,allow,bemuse now means to confuse — semantic drift from muse
be,leaguer,allow,leaguer (besieging camp) is archaic; beleaguer is opaque
be,troth,whatever,troth (pledge) is archaic; betroth is opaque to modern speakers
be,reave,whatever,reave (to plunder) is archaic; bereave is opaque
micro,electronic,filter,
micro,electronics,filter,
micro,processor,filter,
ultra,sonic,filter,
ultra,violet,filter,
macro,economics,filter,
ex,tract,allow,
ex,tractors,allow,
non,human,filter,
re,play,filter,
re,played,filter,
re,sound,allow,
ant,agonize,allow,feel pain and inflict pain feel different even though they're technically not
ant,arctic,filter,
off,stage,filter,
on,stage,filter,
con,verse,allow,
over,price,filter,
under,price,filter,
over,priced,filter,
under,priced,filter,
re,paid,filter,
re,pay,filter,
pre,tax,filter,
inter,bank,filter,
over,bill,filter,
re,fill,filter,
multi,million,filter,
multi,millionaire,filter,
multi,billionaire,filter,
mis,spent,filter,
mis,spend,filter,
de,fraud,filter,
un,earned,filter,
under,powered,filter,
re,sell,filter,
mis,management,filter,
ex,press,allow,demonstrate != push
ex,pressed,allow,demonstrated != pushed
